Partner Name,Annual Green Power Usage (kWh),GP % of Total Electricity Use*,Industry,Green Power Resources
85. Fifth Third Bank,"153,164,000",100%,Banking & Fin. Srvcs.,"Solar, Wind"
86. State of Delaware,"152,853,933",50%,Govt. (State),Various
87. Georgetown University,"152,404,000",127%,Education (Higher),Wind
88. SAP America,"150,000,000",100%,Technology & Telecom,Wind
89. Bloomberg LP,"137,373,268",64%,Media & Publishing,"Solar, Wind"
90. University of Arizona / Main Campus,"131,020,104",67%,Education (Higher),"Solar, Wind"
91. HNI Corporation,"130,000,000",100%,Consumer Products,Wind
92. University of Utah,"129,873,801",43%,Education (Higher),"Geothermal, Solar"
93. Empire State Realty Trust,"129,511,607",100%,Real Estate,Various
94. SC Johnson Consumer Brands,"126,358,263",63%,Consumer Products,"Biogas, Biomass, Small-hydro, Wind"
95. Carnegie Mellon University,"125,005,846",111%,Education (Higher),"Solar, Wind"
"96. Novozymes / Headquarters and Franklinton, NC Production Facility","125,000,000",100%,Industrial Goods & Srvcs.,Solar
97. Saint Louis University,"125,000,000",105%,Education (Higher),Wind
98. Brown-Forman Corporation,"122,900,598",104%,Food & Beverage,"Geothermal, Solar, Wind"
99. University of Oklahoma,"122,065,000",72%,Education (Higher),Wind
"100. Cinemark USA, Inc.","120,238,616",31%,Recreation,"Solar, Wind"
